ID,loan_amnt,funded_amnt,term,int_rate,installment,emp_length,home_ownership,annual_inc,verification_status,loan_status,purpose,addr_state,dti,delinq_2yrs,fico_range_low,fico_range_high,inq_last_6mths,open_acc,pub_rec,revol_bal,revol_util,total_acc,mort_acc,pub_rec_bankruptcies,num_accts_ever_120_pd,pct_tl_nvr_dlq,application_type,issue_d_month,issue_d_year,earliest_cr_line_month,earliest_cr_line_year,grade,term_months,emp_length_num,credit_age,grade_numeric,fico_score
24341,12500.0,12500.0,36 months,7.21,387.17,< 1 year,MORTGAGE,81000.0,Not Verified,Current,debt_consolidation,IL,25.33,0.0,715.0,719.0,1.0,29.0,0.0,18833.0,16.6,61.0,1.0,0.0,1.0,95.8,Individual,6,2018,6,2000,A,36,0,18,1,717.0
67534,33850.0,33850.0,60 months,20.99,915.57,1 year,MORTGAGE,80000.0,Source Verified,Current,debt_consolidation,OK,36.72,0.0,670.0,674.0,1.0,22.0,0.0,33158.0,61.3,59.0,5.0,0.0,0.0,98.3,Individual,10,2015,9,1984,E,60,1,31,5,672.0
35080,10000.0,10000.0,60 months,20.0,264.94,< 1 year,RENT,36580.0,Not Verified,Fully Paid,debt_consolidation,AZ,6.43,0.0,665.0,669.0,1.0,5.0,0.0,5638.0,52.2,10.0,0.0,0.0,0.0,90.0,Individual,9,2017,10,2006,D,60,0,11,4,667.0
4828,20250.0,20250.0,36 months,14.31,695.15,9 years,RENT,48700.0,Source Verified,Charged Off,debt_consolidation,CA,24.08,0.0,665.0,669.0,1.0,22.0,1.0,20025.0,59.8,33.0,0.0,1.0,0.0,100.0,Individual,0,2015,6,1996,C,36,9,19,3,667.0
59259,25000.0,25000.0,36 months,14.99,866.52,1 year,MORTGAGE,85000.0,Source Verified,Current,debt_consolidation,FL,22.79,0.0,675.0,679.0,0.0,12.0,0.0,34595.0,76.9,20.0,1.0,0.0,1.0,95.0,Individual,11,2016,0,2002,C,36,1,14,3,677.0
14166,15000.0,15000.0,36 months,16.29,529.51,1 year,MORTGAGE,24000.0,Verified,Charged Off,debt_consolidation,AZ,44.4,1.0,660.0,664.0,0.0,19.0,0.0,8350.0,70.8,38.0,1.0,0.0,2.0,86.8,Joint App,4,2016,11,2006,D,36,1,10,4,662.0
81867,8900.0,8900.0,36 months,7.89,278.45,1 year,MORTGAGE,49995.0,Not Verified,Fully Paid,car,TX,6.46,0.0,750.0,754.0,0.0,13.0,0.0,165.0,3.2,13.0,0.0,0.0,0.0,100.0,Individual,3,2015,7,2009,A,36,1,6,1,752.0
3400,24000.0,24000.0,60 months,15.61,578.68,10+ years,MORTGAGE,83300.0,Source Verified,Fully Paid,debt_consolidation,PA,14.29,0.0,705.0,709.0,1.0,11.0,0.0,12929.0,73.9,27.0,2.0,0.0,0.0,92.6,Individual,5,2014,0,1998,D,60,10,16,4,707.0
55221,20375.0,20375.0,36 months,16.99,726.33,3 years,RENT,60000.0,Verified,Fully Paid,debt_consolidation,MA,27.34,0.0,680.0,684.0,0.0,14.0,0.0,12723.0,66.3,27.0,0.0,0.0,7.0,66.7,Individual,11,2016,3,2003,D,36,3,13,4,682.0
29740,22000.0,22000.0,36 months,7.21,681.42,3 years,MORTGAGE,285000.0,Source Verified,Fully Paid,credit_card,FL,15.29,0.0,700.0,704.0,0.0,12.0,0.0,100000.0,61.5,42.0,1.0,0.0,0.0,100.0,Individual,6,2018,7,2001,A,36,3,17,1,702.0
